Locus_tag	Spot_volumes_means (Xm)	Spot_quantity (Vs)
y0881	N.A.	+
y0892		+
y0895	N.A.	+
y0904	N.A.	
y0960	357922 (60%)	577184
y1315		
y1331		
y0769	675672 (32%)	509974
y1417	N.A.	
y1487	2250476 (17%)	1659758
y1489	1161128 (17%)	5273656
y1507	2733839 (21%)	1074384
y1777		
y1876	N.A.	
y1947	N.A.	
y1990	4244911 (16%)	3580090
y2067		+
y2101 	514669 (27%)	511286
y2132		
y2139		
y2165	3312020 (16%)	1723074
y2175 		
y2238		
y2244	918304 (66%)	437730
y2262		
y2290	N.A.	+
y2524	N.A.	
y2751		
y2755	1466100 (85%)	895640
y2781	8171911 (20%)	3759588
y2821	N.A.	+
y3119	1022987 (7%)	884604
y3135	3225995 (42%)	1958138
y3137	1769642 (84%)	
y3307	2222726 (60%)	1705804
y3310	1130567 (41%)	1021818
y3499	N.A.	1240437
y3524		
y3529		
y3537		
y3630		+
y3631	N.A.	+
y3693	N.A.	
y3697	N.A.	
y3804	N.A.	
y3858	N.A.	+
y3913		8145734
y3990		5395988
y4001		+
